,Category,JD_Link,Job_title,Job_title_sub,Experience_level,Salary,Location,Job_desc_raw,Job Function:,Industry:,Specialization:,Role:,Qualification:,Employment Type:,Vacancies:,Hiring Location:
0,Data Science,https://www.timesjobs.com/job-detail/data-science-internship-in-mumbai-maxgen-technologies-ahmedabad-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-0-to-1-yrs-jobid-I04RKbIaXE1zpSvf__PLUS__uAgZw==&source=srp,directions_walk    Data Science Internship in Mumbai,"Maxgen Technologies
              			
            	(Jobs by this Company)",card_travel 0 to 1 yrs,₹ As per Industry Standards,"location_on Ahmedabad (Gujarat), Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Delhi (Delhi), Hyderabad/ Secunderabad (Andhra Pradesh)","
Job Description
Maxgen technologies is an it company based in navi mumbai .we are offering internship in data science and data scientist.
why people choosing us?
friendly work culture.
smooth shift timing.
live project in internship.
long time or short time internship.
hybrid mode internship.
college project for students.
call us 7304836635, 8828366280 , 9099039845 .
Address ambiance nbsp court 1505, sector 19 d, opposite r.t.o, near turbhe station, navi mumbai .
",IT Software : Software Products & Services,IT-Software,"Training,data science",Database Architect/ Designer,Any Graduate,Intern,,
1,Data Science,https://www.timesjobs.com/job-detail/manager-data-science-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-2-to-7-yrs-jobid-19C93zI8iPZzpSvf__PLUS__uAgZw==&source=srp,"Manager, Data Science",Electrobrain modern technologies pvt ltd,card_travel 2 to 7 yrs,₹ Rs 4.20 - 6.40 Lacs p.a.,"location_on Gurgaon (Haryana), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra), Noida/ Greater Noida (Uttar Pradesh), Pune (Maharashtra)","
Job Description

Perform deep dive analyses on key business trends from multiple perspectives and package the insights into easily consumable presentations
Make data visually appealing and simple to both navigate and comprehend for end-users
Identify key metrics and drive the building of exec-facing dashboards to track progress of the business and its highest priority initiatives
Identify key business levers, establish cause & effect, and communicate key findings to various stakeholders to facilitate data driven decision-making
Engage in problem solving with Risk, Product, Marketing, and various other teams to determine performance trends and root causes.
Support new product launches by establishing test and control plans and ensuring constant monitoring is in place to track product performance.
Create close relationships with stakeholders to anticipate & answer questions that might be asked by executives.

",Accounting/Tax/Company Secretary/Audit,Accounting-Tax/Consulting,Audit & Risk,Project/ Production Accountant,Any Graduate,Full Time,,
2,Data Science,https://www.timesjobs.com/job-detail/data-science-specialist-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-4-to-9-yrs-jobid-JOu8D0JREBlzpSvf__PLUS__uAgZw==&source=srp,Data Science Specialist,Electrobrain modern technologies pvt ltd,card_travel 4 to 9 yrs,₹ Rs 4.25 - 6.70 Lacs p.a.,"location_on Gurgaon (Haryana), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra), Noida/ Greater Noida (Uttar Pradesh), Pune (Maharashtra)","
Job Description
Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value. Create models and processes to collect, distill and interpret data with a view to aid better, more informed decision making. Examine and explore data from multiple disparate sources with the goal of discovering insights which in turn can provide competitive advantage for our stakeholders.

The role involves but not limited to the following:
Create insights from predictive statistical modeling, mathematical knowledge, tools, and techniques to solve complex problems and deliver value
Implement new predictive and prescriptive solutions based upon business needs and requirements
Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution
Deliver large-scale programs that integrate processes with technology to help clients achieve high performance
Responsible for implementation of complete big data solutions including data acquisition, storage, transformation, and analysis
Manage a specific area of a project or entire project to solve analytics problems for clients
Individual contributor and/or oversees a small work effort
Work with minimal supervision
Key Skills
Must Have Knowledge of statistical techniques and machine learning algorithms
Artificial Intelligence
Hands-on experience of analysis tools like R, Python
Understanding of Text analysis- Natural Language processing (NLP)
Knowledge on Google Cloud Platform
Advanced Excel, PowerPoint skills
Advanced communication (written and oral) and strong interpersonal skills
Ability to work cross-culturally
Good to have Deep Learning
Human Resources experience
VBA and visualization tools like Qliksense, Qlikview will be an added advantage
",IT Software : Software Products & Services,"IT-Software, Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,,
3,Data Science,https://www.timesjobs.com/job-detail/data-science-analyst-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-2-to-7-yrs-jobid-QH8CxoL1eLFzpSvf__PLUS__uAgZw==&source=srp,Data Science Analyst,Electrobrain modern technologies pvt ltd,card_travel 2 to 7 yrs,₹ Rs 3.20 - 5.50 Lacs p.a.,"location_on Gurgaon (Haryana), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra), Noida/ Greater Noida (Uttar Pradesh), Pune (Maharashtra)","
Job Description

3+ years of relevant data science experience
Experience in Developing and enhancing algorithms and models to solve business problem
Conducting quantitative analyses and interpreting results
Proficient in a structured programming language is a must - such as python, R is mandatory.
",IT Software : Software Products & Services,"IT-Software, Software Services",Software Engineer,Software Developer/ Programmer,Any Graduate,Full Time,,
4,Data Science,https://www.timesjobs.com/job-detail/data-science-internship-in-mumbai-maxgen-technologies-ahmedabad-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-0-to-1-yrs-jobid-4FNM3CajW8tzpSvf__PLUS__uAgZw==&source=srp,directions_walk    Data Science Internship in Mumbai,"Maxgen Technologies
              			
            	(Jobs by this Company)",card_travel 0 to 1 yrs,₹ As per Industry Standards,"location_on Ahmedabad (Gujarat), Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Delhi (Delhi), Hyderabad/ Secunderabad (Andhra Pradesh)","
Job Description
Maxgen technologies is an it company based in navi mumbai .we are offering internship in data science ,data scientist. 
why people choosing us?
friendly work culture.
smooth shift timing.
live project in internship.
long time or short time internship.
hybrid mode internship.
college project for students.
call us 7304836635, 8828366280 , 9099039845 .
Address ambiance nbsp court 1505, sector 19 d, opposite r.t.o, near turbhe station, navi mumbai .
",IT Software : Software Products & Services,IT-Software,"Training,data science",Database Architect/ Designer,Any Graduate,Intern,,
5,Data Science,https://www.timesjobs.com/job-detail/data-science-analyst-a-leading-it-firm-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-Eco6pdNXv4VzpSvf__PLUS__uAgZw==&source=srp,Data Science Analyst,A leading IT Firm,card_travel 2 to 7 yrs,₹ Best in Industry,"location_on Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Delhi/ NCR (Delhi), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra)","
Job Description
Data Science Analyst
Experience  2 t 6 years
Location All Metro cities
Package  3 lakh to 10 lakh
JD    
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.  
",IT Software : Software Products & Services,"IT-Software, Software Services","Business/Systems Analysis,Data Science Analyst",,Any Graduate,Full Time,,
6,Data Science,https://www.timesjobs.com/job-detail/lead-data-science-cte-hyderabad-secunderabad-10-to-15-yrs-jobid-T0__SLASH__5zcb8eEVzpSvf__PLUS__uAgZw==&source=srp,Lead - Data Science,CTE,card_travel 10 to 15 yrs,₹ As per Industry Standards,location_on Hyderabad/ Secunderabad (Andhra Pradesh),"
Job Description
		        From building entire infrastructures or platforms to solving complex IT challenges, Cambridge Technology helps businesses accelerate their digital transformation and become AI-first businesses. With over 20 years of expertise as a technology services company, we enable our customers to stay ahead of the curve by helping them figure out the perfect approach, solutions, and ecosystem for their business.Our experts help customers leverage the right AI, big data, cloud solutions, and intelligent platformsthat will help them become and stay relevant in a rapidly changing world.Skills required:The ideal candidate will have a bachelors degree in data science, statistics, or a related discipline with 10  years of experience. A strong candidate will also possess many of the following characteristicsStrong problem-solving skills with an emphasis on achieving proof-of-conceptKnowledge of statistical techniques and concepts (regression, statistical tests, etc.)Knowledge of machine learning and deep learning fundamentalsExperience with Python implementations to build ML and deep learning algorithms (e.g., pandas, numpy, sci-kit-learn, stats models, Keras, PyTorch, etc.)Experience using managed web services (e.g., AWS, GCP, etc.)Experience with MLOps strategies and practicesStrong analytic and communications skillsCuriosity, flexibility, creativity, and a strong tolerance for ambiguityAbility to learn new tools from documentation and internet resource.Roles and responsibilities:Mentor a teamLead data mining and collection proceduresBuild and grow AI/ML practiceEnsure data quality and integrityInterpret and analyze data problemsConceive, plan and prioritize data projectsBuild analytic systems and predictive modelsstrategies and practices for MLOpsTest performance of data-driven productsVisualize data and create reportsExperiment with new models and techniquesAlign data projects with organizational goalsCollaborate with client-facing teams to design and build operational AI solutions for client engagementsIdentify relevant data sources for data wrangling and EDAIdentify model architectures to use for client business needsBuild full-stack data science solutions up to MVP that can be deployed into existing client business processes or scaled up based on clear documentationPresent findings to teammates and key stakeholders in a clear and repeatable mannerExperience:10 -15 Yrs
	        ",IT Software : Software Products & Services,"Software Services, Internet/Dot com/ISP",Software Engineer,,Any Graduate,Full Time,,
7,Data Science,https://www.timesjobs.com/job-detail/lead-data-science-cambridge-technology-india-pvt-ltd-hyderabad-secunderabad-10-to-15-yrs-jobid-bufeBkHBKNZzpSvf__PLUS__uAgZw==&source=srp,Lead - Data Science,CAMBRIDGE TECHNOLOGY INDIA PVT LTD,card_travel 10 to 15 yrs,₹ As per Industry Standards,location_on Hyderabad/ Secunderabad (Andhra Pradesh),"
Job Description
		        From building entire infrastructures or platforms to solving complex IT challenges, Cambridge Technology helps businesses accelerate their digital transformation and become AI-first businesses. With over 20 years of expertise as a technology services company, we enable our customers to stay ahead of the curve by helping them figure out the perfect approach, solutions, and ecosystem for their business.Our experts help customers leverage the right AI, big data, cloud solutions, and intelligent platformsthat will help them become and stay relevant in a rapidly changing world.No of Positions: 1Skills required:The ideal candidate will have a bachelors degree in data science, statistics, or a related discipline with 10  years of experience. A strong candidate will also possess many of the following characteristicsStrong problem-solving skills with an emphasis on achieving proof-of-conceptKnowledge of statistical techniques and concepts (regression, statistical tests, etc.)Knowledge of machine learning and deep learning fundamentalsExperience with Python implementations to build ML and deep learning algorithms (e.g., pandas, numpy, sci-kit-learn, stats models, Keras, PyTorch, etc.)Experience using managed web services (e.g., AWS, GCP, etc.)Experience with MLOps strategies and practicesStrong analytic and communications skillsCuriosity, flexibility, creativity, and a strong tolerance for ambiguityAbility to learn new tools from documentation and internet resource.Roles and responsibilities:Mentor a teamLead data mining and collection proceduresBuild and grow AI/ML practiceEnsure data quality and integrityInterpret and analyze data problemsConceive, plan and prioritize data projectsBuild analytic systems and predictive modelsstrategies and practices for MLOpsTest performance of data-driven productsVisualize data and create reportsExperiment with new models and techniquesAlign data projects with organizational goalsCollaborate with client-facing teams to design and build operational AI solutions for client engagementsIdentify relevant data sources for data wrangling and EDAIdentify model architectures to use for client business needsBuild full-stack data science solutions up to MVP that can be deployed into existing client business processes or scaled up based on clear documentationPresent findings to teammates and key stakeholders in a clear and repeatable mannerExperience:10 -15Yrs
	        ",IT Software : Software Products & Services,"Software Services, Internet/Dot com/ISP",Software Engineer,,ML/ LLM (Law) Any Graduate,Full Time,,
8,Data Science,https://www.timesjobs.com/job-detail/senior-manager-data-science-merilytics-hyderabad-secunderabad-4-to-8-yrs-jobid-XwLAeCIbrlJzpSvf__PLUS__uAgZw==&source=srp,Senior Manager - Data Science,Merilytics,card_travel 4 to 8 yrs,₹ As per Industry Standards,location_on Hyderabad/ Secunderabad (Andhra Pradesh),"
Job Description
		        As a Senior Manager-Data Science at Merilytics, you will own multiple client relationships and provide advanced analytics and data science thought partnership to clients globally. (S)he will oversee multiple project teams to facilitate delivery of high-quality advanced analytics services, identify opportunities for deeper client engagement and work on cross-functional research-oriented projects using advanced machine learning algorithms.Roles and Responsibilities:Drive value addition to the client's business by guiding the problem-solving and bringing an independent perspective based on domain knowledge and past data science experienceEngage in peer level discussions with the C-Suite of client companies, to partner with them as a trusted advanced analytics advisorDevelop a robust knowledge of data science applications in various functional areas (Marketing, Finance, Pricing, Supply Chain etc.) across a diverse set of industries to provide relevant and interpretable insightsDevelop proprietary algorithms for solving complex business problems while handling large amount of structured and unstructured dataUse relevant knowledge of computer science fundamentals, distributed computing, and machine learning to help build scalable analytical solutionsEnsure that the data science team works closely with our Technical team and core Business Analytics teams for the design and development of the analytical solutionsCombine business knowledge with statistical and computational techniques to provide actionable business solutions for our clientsFacilitate people development and proactively ensure that development agenda is fulfilled for all team membersThink from a company point-of-view and take up additional responsibilities outside of regular client projects to support the growth of the companyWhat are the pre-requisites and skillsets required to apply for this role?Should have 4-8 years of experience in applying concepts in Data Science, Machine Learning, Algorithm development, Advanced Computing or Statistical Modeling to solve real-world problemsShould possess strong practical experience in programming languages: Python or RShould possess strong and practical modeling skills using advanced algorithms such as Random Forests, Boosted Trees, SVM, Neural Networks/Deep learning architectures and Time series forecasting techniquesStrong experience with algorithms in recommendation systems, NLP or big data frameworks/platforms such as Spark and Databricks is preferableFamiliarity with cloud-based machine learning platforms like Azure ML, Amazon SageMaker would be a plusShould have strong independent and creative research skills necessary to keep up with the latest trends in advanced analyticsShould have an undergraduate degree from premier institutions such as IIT, BITS, NIT etcMust have strong communication skills enabling you to clearly communicate your thoughts/work to the client or internal teams
	        ",IT Software : Software Products & Services,Consulting Services,Software Engineer,,Any Graduate,Full Time,,
9,Data Science,https://www.timesjobs.com/job-detail/senior-manager-data-science-meritus-intelytics-private-limited-hyderabad-secunderabad-4-to-8-yrs-jobid-5__PLUS__3GCxTWv1RzpSvf__PLUS__uAgZw==&source=srp,Senior Manager - Data Science,MERITUS INTELYTICS PRIVATE LIMITED,card_travel 4 to 8 yrs,₹ As per Industry Standards,location_on Hyderabad/ Secunderabad (Andhra Pradesh),"
Job Description
		        As a Senior Manager-Data Science at Merilytics, you will own multiple client relationships and provide advanced analytics and data science thought partnership to clients globally. (S)he will oversee multiple project teams to facilitate delivery of high-quality advanced analytics services, identify opportunities for deeper client engagement and work on cross-functional research-oriented projects using advanced machine learning algorithms.Roles and Responsibilities:Drive value addition to the client's business by guiding the problem-solving and bringing an independent perspective based on domain knowledge and past data science experienceEngage in peer level discussions with the C-Suite of client companies, to partner with them as a trusted advanced analytics advisorDevelop a robust knowledge of data science applications in various functional areas (Marketing, Finance, Pricing, Supply Chain etc.) across a diverse set of industries to provide relevant and interpretable insightsDevelop proprietary algorithms for solving complex business problems while handling large amount of structured and unstructured dataUse relevant knowledge of computer science fundamentals, distributed computing, and machine learning to help build scalable analytical solutionsEnsure that the data science team works closely with our Technical team and core Business Analytics teams for the design and development of the analytical solutionsCombine business knowledge with statistical and computational techniques to provide actionable business solutions for our clientsFacilitate people development and proactively ensure that development agenda is fulfilled for all team membersThink from a company point-of-view and take up additional responsibilities outside of regular client projects to support the growth of the companyWhat are the pre-requisites and skillsets required to apply for this role?Should have 4-8 years of experience in applying concepts in Data Science, Machine Learning, Algorithm development, Advanced Computing or Statistical Modeling to solve real-world problemsShould possess strong practical experience in programming languages: Python or RShould possess strong and practical modeling skills using advanced algorithms such as Random Forests, Boosted Trees, SVM, Neural Networks/Deep learning architectures and Time series forecasting techniquesStrong experience with algorithms in recommendation systems, NLP or big data frameworks/platforms such as Spark and Databricks is preferableFamiliarity with cloud-based machine learning platforms like Azure ML, Amazon SageMaker would be a plusShould have strong independent and creative research skills necessary to keep up with the latest trends in advanced analyticsShould have an undergraduate degree from premier institutions such as IIT, BITS, NIT etcMust have strong communication skills enabling you to clearly communicate your thoughts/work to the client or internal teams
	        ",IT Software : Software Products & Services,Consulting Services,Software Engineer,,Any Graduate,Full Time,,
